name,avgscore
andrews jenkins,27.0
andrey konchalovskiy,35.0
andrey kravchuk,74.0
andrey zvyagintsev,89.5
andrucha waddington,54.0
andrzej bartkowiak,35.6
andrzej krakowski,34.0
andrzej wajda,81.0
andrzej zulawski,72.0
andy abrahams wilson,63.0
andy baybutt,66.0
andy bichlbaum,66.0
andy byatt,71.0
andy cadiff,46.0
andy capper,42.0
andy cheng,24.0
andy fickman,36.333333333333336
andy garcia,47.0
andy hamilton,54.0
andy mitton,52.0
andy muschietti,57.0
andy tennant,44.75
ang lee,72.66666666666667
angad bhalla,73.0
angel gracia,39.0
angela bettis,43.0
angela christlieb,67.0
angela ismailos,49.0
angela robinson,44.5
angelina jolie,57.5
angelina maccarone,50.0
angus maclachlan,62.0
angus sampson,57.0
anja marquardt,59.0
anjelica huston,65.0
ann hu,66.0
ann mcelhinney,61.0
anna biller,58.0
anna boden,74.0
anna mastro,36.0
anna muylaert,82.0
anna reeves,51.0
anne de mare,67.0
anne de salvo,29.0
anne fletcher,44.8
anne fontaine,58.714285714285715
anne renton,40.0
anne sewitsky,60.0
anne sundberg,76.66666666666667
anne-sophie birot,68.0
annemarie jacir,57.5
annette haywood-carter,25.0
anonymous,89.0
anouk whissell,60.0
anson hartford,68.0
anthony abrams,46.0
anthony baxter,57.0
anthony bell,36.0
anthony burns,36.5
anthony byrne,50.0
anthony chen,85.0
anthony d'souza,42.0
anthony diblasi,40.0
anthony fabian,45.5
anthony geffen,57.0
anthony hemingway,46.0
anthony hopkins,47.0
anthony leonardi iii,12.0
anthony minghella,72.8
anthony powell,69.0
anthony russo,59.0
anthony silverston,40.0
anthony stacchi,55.0
anthony waller,31.0
antoine de caunes,65.0
antoine delesvaux,74.0
antoine fuqua,52.09090909090909
anton corbijn,70.66666666666667
antonello grimaldi,51.0
antoni stutz,25.0
antonia bird,46.0
antonino d'ambrosio,53.0
antonio banderas,46.0
antonio campos,64.5
antonio naharro,56.0
antonio santini,75.0
antonio serrano,51.0
antony cordier,39.0
antony hoffman,34.0
anubhav sinha,60.0
anurag basu,62.0
anurag kashyap,82.5
anusha rizvi,69.0
aparna sen,50.0
apichatpong weerasethakul,78.25
ari daniel pinchot,58.0
ari folman,77.0
ari gold,39.0
ari sandel,56.0
aric avelino,48.0
arie posin,46.0
ariel schulman,54.666666666666664
ariel vromen,60.0
arin crumley,72.0
aris iliopulos,14.0
aristomenis tsirbas,54.0
arjun sajnani,57.0
arliss howard,49.0
armando iannucci,83.0
arnaud des pallieres,51.0
arnaud desplechin,73.25
arne johnson,62.0
arne toonen,37.0
aron gaudet,62.0
art stevens,74.0
art vitello,48.0
arthur flam,32.0
arthur hiller,47.666666666666664
arthur penn,72.0
artie mandelberg,28.0
arvin chen,56.0
asger leth,52.0
asghar farhadi,84.0
ash baron-cohen,63.0
ash brannon,76.0
ashim ahluwalia,52.0
ashley sabin,73.5
ashutosh gowariker,76.5
asia argento,47.333333333333336
asif kapadia,67.33333333333333
astra taylor,57.5
athina rachel tsangari,73.0
atiq rahimi,64.0
atom egoyan,60.714285714285715
audrey brohy,30.0
audrey ewell,54.0
audrey wells,60.0
auraeus solito,70.0
aurora guerrero,66.0
austin chick,36.0
austin stark,39.0
ava duvernay,82.0
avi lewis,66.0
avi nesher,69.0
aviva kempner,72.0
ayman el gazwy,58.0
azazel jacobs,78.0
b.z. goldberg,80.0
babak payami,75.0
bahman farmanara,63.0
bahman ghobadi,78.4
bala rajasekharuni,31.0
baltasar kormakur,57.6
banjong pisanthanakun,43.0
banksy,85.0
bao nguyen,51.0
barbara albert,57.0
barbara brancaccio,73.0
barbara kopple,69.5
barbet schroeder,70.8
barbra streisand,65.0
barnaby thompson,39.0
barney broomfield,85.0
barra grant,46.0
barrie nelson,51.0
barry avrich,68.0
barry battles,33.0
barry cook,59.0
barry jenkins,63.0
barry levinson,58.93333333333333
barry poltermann,72.0
barry shurchin,32.0
barry skolnick,45.0
barry sonnenfeld,55.22222222222222
barry w. blaustein,48.666666666666664
bart freundlich,43.25
bart layton,77.0
bas devos,77.0
bassam tariq,82.0
baz luhrmann,61.2
beeban kidron,44.0
bela tarr,86.0
belinda sallin,62.0
ben affleck,77.33333333333333
ben coccio,69.0
ben elton,46.0
ben falcone,39.0
ben gluck,36.0
ben hickernell,45.0
ben hopkins,47.0
ben ketai,34.0
ben knight,52.0
ben lewin,79.0
ben nott,35.0
ben palmer,44.0
ben patterson,64.0
ben peyser,21.0
ben rivers,73.5
ben russell,70.0
ben shapiro,87.0
ben sharpsteen,95.0
ben sombogaart,60.0
ben stassen,36.0
ben steinbauer,71.0
ben stiller,60.5
ben wheatley,61.75
ben younger,60.5
benedikt erlingsson,74.0
benh zeitlin,86.0
benito zambrano,75.0
benjamin avila,55.0
benjamin dickinson,63.0
benjamin epps,35.0
benjamin heisenberg,65.0
benjamin johnson,54.0
benjamin morgan,60.0
benjamin statler,50.0
bennett davlin,26.0
bennett miller,81.25
bennett singer,42.0
benny boom,46.0
benny chan,53.0
benny safdie,75.0
benoit delepine,47.0
benoit jacquot,62.0
benson lee,46.0
bent hamer,72.25
bent-jorgen perlmutt,69.0
bernard rose,49.0
bernardo bertolucci,72.0
bernie goldmann,30.0
bertha bay-sa pan,50.0
bertrand bonello,63.5
bertrand tavernier,75.75
bess kargman,72.0
beth aala,64.0
beth harrington,89.0
bette gordon,59.0
betty thomas,46.0
beverly kopf,66.0
bharat nalluri,63.0
bibo bergeron,49.5
bill boyce,25.0
bill condon,63.142857142857146
bill couturie,25.0
bill duke,46.5
bill eagles,40.0
bill forsyth,33.0
bill guttentag,58.0
bill haney,62.0
bill kroyer,67.0
bill maher,40.0
bill melendez,55.0
bill morrison,75.0
bill murray,56.0
bill paxton,59.5
bill plympton,58.0
bill roberts,85.0
bill ross iv,81.0
bill siegel,75.5
bill weber,94.0
bille august,37.5
bille woodruff,45.0
billy bob thornton,62.333333333333336
billy corben,58.0
billy kent,48.0
billy morrissette,49.0
billy ray,73.5
billy wilder,79.8
biyi bandele,51.0
bj mcdonnell,25.0
bjorn stein,33.5
blair erickson,62.0
blair hayes,41.0
blair treu,40.5
blake edwards,54.1
blayne weaver,39.0
blutch,69.0
bo welch,19.0
boaz yakin,50.5
bob byington,62.5
bob clark,34.0
bob dolman,52.0
bob fosse,80.0
bob giraldi,63.0
bob gosse,26.0
bob hercules,69.0
bob odenkirk,25.666666666666668
bob peterson,88.0
bob smeaton,85.0
bob spiers,32.0
bobbie birleffi,66.0
bobbito garcia,71.0
bobby farrelly,50.666666666666664
bobcat goldthwait,62.8
bonni cohen,77.0
bonnie hunt,54.0
boris rodriguez,57.0
brad anderson,59.375
brad barber,75.0
brad bernstein,73.0
brad bird,80.8
brad furman,49.5
brad j. silverman,39.0
brad leong,35.0
brad lewis,57.0
brad peyton,42.0
brad silberling,49.6
braden king,68.0
bradley beesley,78.0
bradley king,50.0
bradley rust gray,56.5
brady kiernan,67.0
brandon camp,33.0
brandon cronenberg,55.0
brandon kimber,70.0
brant sersen,41.0
breck eisner,48.0
brenda chapman,66.5
brendan malloy,22.0
brenna sanchez,82.0
brent hodge,58.0
bret wood,40.0
brett haley,75.0
brett harvey,37.0
brett leonard,40.5
brett morgen,74.66666666666667
brett ratner,47.54545454545455
brett winn,51.0
brian a. miller,19.666666666666668
brian baugh,19.0
brian dannelly,51.5
brian de palma,62.69230769230769
brian goodman,71.0
brian hecker,57.0
brian helgeland,46.25
brian henson,64.0
brian herzlinger,51.0
brian james o'connell,50.0
brian klugman,37.0
brian knappenberger,69.0
brian koppelman,49.5
brian levant,29.6
brian mcginn,60.0
