name,avgscore
alejandro hernandez,69.0
alejandro jodorowsky,76.0
alejandro jodorowsky ,40.0
alejandro monteverde,38.5
alejandro zambra ,65.0
alek keshishian,37.0
aleksandr borodyanskiy,49.0
aleksandr novototskiy-vlasov,72.0
aleksandr rogozhkin,69.0
aleksandr sokurov,78.66666666666667
aleksandr sokurov ,86.0
aleksey german ,90.0
aleksey popogrebskiy,74.0
alessandro baricco ,48.5
alessandro camon,77.0
alessandro camon ,48.0
alessandro fabbri,72.0
alessandro magania,27.0
alessandro tanaka,39.0
alessio cremonini,61.0
alex cox,56.25
alex de la iglesia,63.0
alex epstein ,57.0
alex flinn ,40.0
alex garland,66.5
alex garland ,43.0
alex gibney,70.66666666666667
alex greene ,32.0
alex gregory,44.0
alex haley ,72.0
alex holdridge,64.0
alex karpovsky,65.0
alex kendrick,35.333333333333336
alex kendrick ,28.0
alex kotlowitz ,86.0
alex kurtzman,57.22222222222222
alex kurtzman ,53.0
alex lasker,46.0
alex litvak,43.0
alex mace,42.0
alex macinnis ,76.0
alex manugian ,65.0
alex metcalf,51.0
alex pastor,33.5
alex proyas,58.0
alex prud'homme ,64.0
alex raymond ,58.0
alex rivera,59.0
alex rose,62.0
alex ross perry,68.66666666666667
alex smith,58.5
alex tse,56.0
alex van warmerdam,66.0
alex winter,59.0
alexander abela,64.0
alexander bulkley,21.0
alexander buono,80.0
alexander dinelaris,88.0
alexander dulerayn,20.0
alexander ignon,60.0
alexander key ,52.0
alexander payne,75.33333333333333
alexander payne ,66.0
alexander poe,37.0
alexander pushkin ,59.0
alexander stuart,68.0
alexander stuart ,68.0
alexander talal,59.0
alexander trocchi ,67.0
alexander von david ,54.0
alexandra meierhans,72.0
alexandra pelosi,48.0
alexandra rockingham gill,56.0
alexandra rose,28.0
alexandra viets,52.0
alexandre aja,42.6
alexandre arcady,59.0
alexandre castagnetti ,49.0
alexandre coscas,19.0
alexandre de la patelliere,66.0
alexandre de la patelliere ,61.5
alexandre dumas ,42.75
alexandre machado,57.0
alexandre melo,36.0
alexandre moors,76.0
alexandre nahon ,61.0
alexandre o. philippe,55.0
alexandros avranas,75.0
alexandru baciu,81.0
alexi hawley,30.0
alexi kaye campbell,51.0
alexia landeau ,61.0
alexis dos santos,66.0
alexis gambis,34.0
alexis lloyd,20.0
alexis nolent ,48.0
alfonso cuaron,80.5
alfonso cuaron ,66.0
alfred cheung,38.0
alfred cheung ,38.0
alfred gough,45.42857142857143
alfred gough ,83.0
alfred uhry,70.5
alfred uhry ,81.0
