name,avgscore
al bandiero,44.0
al franken,49.0
al freeman jr.,72.0
al gore,75.0
al lettieri,55.0
al pacino,61.035714285714285
al schackman,75.0
al schuermann,53.0
al sunshine,59.0
al thompson,23.0
alaadin khasawneh,56.0
alain chabat,63.0
alain delon,91.66666666666667
alain dion,74.0
alain goulem,57.0
alain lathiere,56.0
alain libolt,76.5
alain lino mic eli bastien,84.0
alain prost,79.0
alaina winfield,72.0
alakina mann,74.0
alan alda,50.714285714285715
alan arkin,61.214285714285715
alan badel,80.0
alan bates,55.2
alan crosley,36.0
alan cumming,51.285714285714285
alan david,69.0
alan gryfe,68.0
alan howard,77.0
alan jones,35.0
alan king,64.75
alan m. dershowitz,75.0
alan mckenna,64.0
alan powell,42.0
alan randolph scott,68.0
alan rickman,53.3
alan ritchson,31.0
alan ruck,61.0
alan scott,73.0
alan tudyk,58.0
alan van sprang,43.0
alan webb,68.0
alastair galbraith,69.0
alastair macintosh,66.0
alba rohrwacher,68.57142857142857
albert brooks,65.0
albert delpy,61.0
albert dupontel,57.5
albert finney,59.7
albert hall,72.0
albert laveau,64.0
albert m. belmont jr.,59.0
albert mwesigwa,61.0
albert sinkys,62.0
alberta watson,50.0
albertine n'guessan,70.0
alberto ammann,57.0
alberto estrella,68.0
alberto ferreiro,61.0
alberto re,57.0
alberto reyes,47.0
alberto san juan,70.0
alberto sordi,87.5
albiera antinori,67.0
alden ehrenreich,58.5
aldo giuffre,90.0
aldo velasco,63.0
alec baldwin,55.0
alec guinness,93.5
alec mccowen,32.0
aleisha allen,31.5
alejandra prado,44.0
alejandra urdiain,43.0
alejandro casaseca,52.0
alejandro ferretis,76.0
alejandro jodorowsky,63.0
alejandro polanco,83.0
alejandro rey,67.0
alejandro rojo,35.0
alejandro urdapilleta,75.0
aleksa palladino,55.0
aleksandar mikic,82.0
aleksander bardini,86.0
aleksandr baluev,43.0
aleksandr chutko,90.0
aleksandr razbash,64.0
aleksei neymyshev,64.0
aleksey rozin,87.0
aleksey serebryakov,92.0
aleksey vertkov,78.0
alessandra martines,54.0
alessandro gassman,53.5
alessandro nivola,53.4
alessandro tiberi,54.0
alessio boni,89.0
alessio rigo de righi,65.0
alex babic,73.0
alex berg,41.0
alex borchardt,84.0
alex borstein,80.0
alex brendemuhl,62.0
alex casanovas,53.0
alex chilton,69.0
alex d. linz,40.0
alex descas,62.75
alex draper,52.0
alex esmail,75.0
alex essoe,49.0
alex etel,66.5
alex feldman,33.0
alex ferris,47.0
alex frost,67.5
alex gibney,74.75
alex haw,60.0
alex hernandez,47.0
alex hill 3,52.0
alex jennings,82.0
alex jones,32.0
alex karpovsky,67.0
alex karras,42.0
alex kendrick,42.0
alex kiester,64.0
alex lee,71.0
alex lewis,69.0
alex lutz,58.0
alex macqueen,50.0
alex maizus,51.0
alex markowitz,74.0
alex mcarthur,44.5
alex mckenna,22.0
alex meneses,67.0
alex meraz,31.0
alex michaeletos,82.0
alex moffat,56.0
alex monner,45.0
alex o'loughlin,42.5
alex palmer,73.0
alex pettyfer,44.5
alex reid,68.5
alex rivera,54.0
alex rocco,49.333333333333336
alex russell,58.5
alex shaffer,34.0
alex shinohara,83.0
alex van warmerdam,66.0
alex veadov,59.0
alex weir,89.0
alex wolff,48.0
alexa davalos,58.0
alexa havins,57.0
alexa jago,16.0
alexa penavega,45.0
